date,product,units_sold,unit_price,region
2025-06-01,Product A,120,12.90,North
2025-06-01,Product B,80,19.90,North
2025-06-01,Product C,45,29.00,South
2025-06-01,Product A,60,12.90,South
2025-06-02,Product A,130,12.90,North
2025-06-02,Product B,75,19.90,North
2025-06-02,Product C,40,29.00,South
2025-06-02,Product A,70,12.90,South
2025-06-03,Product A,110,12.90,North
2025-06-03,Product B,90,19.90,North
2025-06-03,Product C,50,29.00,South
2025-06-03,Product A,65,12.90,South
2025-06-04,Product A,140,12.90,North
2025-06-04,Product B,95,19.90,North
2025-06-04,Product C,55,29.00,South
2025-06-04,Product A,80,12.90,South
2025-06-05,Product A,135,12.90,North
2025-06-05,Product B,85,19.90,North
2025-06-05,Product C,48,29.00,South
2025-06-05,Product A,72,12.90,South
2025-06-06,Product A,115,12.90,North
2025-06-06,Product B,78,19.90,North
2025-06-06,Product C,42,29.00,South
2025-06-06,Product A,68,12.90,South
2025-06-07,Product A,160,12.90,North
2025-06-07,Product B,105,19.90,North
2025-06-07,Product C,60,29.00,South
2025-06-07,Product A,90,12.90,South
2025-06-08,Product A,150,12.90,North
2025-06-08,Product B,98,19.90,North
2025-06-08,Product C,58,29.00,South
2025-06-08,Product A,85,12.90,South
2025-06-09,Product A,125,12.90,North
2025-06-09,Product B,82,19.90,North
2025-06-09,Product C,47,29.00,South
2025-06-09,Product A,70,12.90,South
2025-06-10,Product A,118,12.90,North
2025-06-10,Product B,79,19.90,North
2025-06-10,Product C,46,29.00,South
2025-06-10,Product A,66,12.90,South
2025-06-11,Product A,130,12.90,North
2025-06-11,Product B,88,19.90,North
2025-06-11,Product C,52,29.00,South
2025-06-11,Product A,78,12.90,South
2025-06-12,Product A,140,12.90,North
2025-06-12,Product B,92,19.90,North
2025-06-12,Product C,55,29.00,South
2025-06-12,Product A,82,12.90,South
2025-06-13,Product A,145,12.90,North
2025-06-13,Product B,96,19.90,North
2025-06-13,Product C,57,29.00,South
2025-06-13,Product A,88,12.90,South
2025-06-14,Product A,210,12.90,North
2025-06-14,Product B,130,19.90,North
2025-06-14,Product C,80,29.00,South
2025-06-14,Product A,120,12.90,South
